Consistency of Silhouettes and Their Duals [(0.20899746, 'Points'), (0.65163064, 'Graphic')]
A Direct Least-Squares Solution to the PnP Problem With Unknown Focal Length [(0.36871243, 'Points'), (0.61337304, 'Graphic')]
Answer-Type Prediction for Visual Question Answering [(0.037749756, 'Convolution'), (0.9184021, 'Dataset')]
We Don't Need No Bounding-Boxes  Training Object Class Detectors Using Only Human Verification [(0.36527276, 'Dataset'), (0.6343817, 'Object Detection')]
Dynamic Image Networks for Action Recognition [(0.28085098, 'Convolution'), (0.32114786, 'Video')]
WIDER FACE  A Face Detection Benchmark [(0.23191461, 'Video'), (0.4783919, 'Object Detection')]
Learning to Select Pre-Trained Deep Representations With Bayesian Evidence Framework [(0.37491858, 'Points'), (0.4325574, 'Dataset')]
Structured Receptive Fields in CNNs [(0.37068072, 'Points'), (0.40138382, 'Convolution')]
Accelerated Generative Models for 3D Point Cloud Data [(0.34372404, 'Graphic'), (0.46968573, 'Points')]
FireCaffe  Near-Linear Acceleration of Deep Neural Network Training on Compute Clusters [(0.248298, 'Dataset'), (0.46614438, 'Convolution')]
WarpNet  Weakly Supervised Matching for Single-View Reconstruction [(0.29211316, 'Graphic'), (0.295901, 'Dataset')]
Shallow and Deep Convolutional Networks for Saliency Prediction [(0.18768506, 'Dataset'), (0.6505171, 'Convolution')]
A Large Dataset to Train Convolutional Networks for Disparity, Optical Flow, and Scene Flow Estimati [(0.25421807, 'Convolution'), (0.5141261, 'Graphic')]
The Cityscapes Dataset for Semantic Urban Scene Understanding [(0.35579178, 'Dataset'), (0.50687647, 'Object Detection')]
A Probabilistic Collaborative Representation Based Approach for Pattern Classification [(0.34630674, 'Points'), (0.5715567, 'Dataset')]
Staple  Complementary Learners for Real-Time Tracking [(0.19116463, 'Points'), (0.2803001, 'Similarity')]
Towards Open Set Deep Networks [(0.12682244, 'Convolution'), (0.70265853, 'Dataset')]
Scene Recognition With CNNs  Objects, Scales and Dataset Bias [(0.26437646, 'Convolution'), (0.52639055, 'Dataset')]
Learned Binary Spectral Shape Descriptor for 3D Shape Correspondence [(0.29535282, 'Similarity'), (0.36914775, 'Graphic')]
Reinforcement Learning for Visual Object Detection [(0.18414415, 'Points'), (0.5695553, 'Object Detection')]
Pairwise Matching Through Max-Weight Bipartite Belief Propagation [(0.1493117, 'Similarity'), (0.7075087, 'Points')]
Temporally Coherent 4D Reconstruction of Complex Dynamic Scenes [(0.22707933, 'Object Detection'), (0.5919303, 'Graphic')]
Metric Learning as Convex Combinations of Local Models With Generalization Guarantees [(0.2384941, 'Dataset'), (0.39911425, 'Points')]
Trust No One  Low Rank Matrix Factorization Using Hierarchical RANSAC [(0.43113196, 'Graphic'), (0.5643587, 'Points')]
Predicting Motivations of Actions by Leveraging Text [(0.19623557, 'Video'), (0.7466863, 'Dataset')]
Laplacian Patch-Based Image Synthesis [(0.35915494, 'Graphic'), (0.491767, 'Object Detection')]
Fast Training of Triplet-Based Deep Binary Embedding Networks [(0.33823028, 'Dataset'), (0.48349795, 'Points')]
Ambiguity Helps  Classification With Disagreements in Crowdsourced Annotations [(0.22797844, 'Points'), (0.70575184, 'Dataset')]
PSyCo  Manifold Span Reduction for Super Resolution [(0.38472933, 'Graphic'), (0.45531884, 'Points')]
Functional Faces  Groupwise Dense Correspondence Using Functional Maps [(0.16431962, 'Points'), (0.6455469, 'Graphic')]
Cross-Stitch Networks for Multi-Task Learning [(0.3851191, 'Convolution'), (0.48814693, 'Dataset')]
Anticipating Visual Representations From Unlabeled Video [(0.2370325, 'Video'), (0.5903651, 'Dataset')]
Unbiased Photometric Stereo for Colored Surfaces  A Variational Approach [(0.16177438, 'Points'), (0.82007563, 'Graphic')]
Seven Ways to Improve Example-Based Single Image Super Resolution [(0.27446306, 'Points'), (0.31639653, 'Object Detection')]
Track and Transfer  Watching Videos to Simulate Strong Human Supervision for Weakly-Supervised Objec [(0.22701903, 'Dataset'), (0.62461305, 'Object Detection')]
Automating Carotid Intima-Media Thickness Video Interpretation With Convolutional Neural Networks [(0.13461918, 'Video'), (0.600552, 'Object Detection')]
Fine-Grained Image Classification by Exploring Bipartite-Graph Labels [(0.13302776, 'Convolution'), (0.7015147, 'Dataset')]
Stacked Attention Networks for Image Question Answering [(0.2208468, 'Convolution'), (0.69764143, 'Dataset')]
Supervised Quantization for Similarity Search  [(0.29726055, 'Dataset'), (0.6783555, 'Points')]
The MegaFace Benchmark  1 Million Faces for Recognition at Scale  [(0.23028846, 'Video'), (0.64339334, 'Dataset')]
Convolutional Two-Stream Network Fusion for Video Action Recognition [(0.20123394, 'Video'), (0.63941836, 'Convolution')]
POD  Discovering Primary Objects in Videos Based on Evolutionary Refinement of Object Recurrence, Ba [(0.16784039, 'Video'), (0.7979615, 'Object Detection')]
CoMaL  Good Features to Match on Object Boundaries [(0.30329293, 'Graphic'), (0.49682254, 'Object Detection')]
Groupwise Tracking of Crowded Similar-Appearance Targets From Low-Continuity Image Sequences [(0.20686994, 'Object Detection'), (0.38211778, 'Similarity')]
Learning Reconstruction-Based Remote Gaze Estimation [(0.306564, 'Similarity'), (0.39487445, 'Graphic')]
A Consensus-Based Framework for Distributed Bundle Adjustment [(0.24620801, 'Graphic'), (0.73654896, 'Points')]
Three-Dimensional Object Detection and Layout Prediction Using Clouds of Oriented Gradients [(0.30850717, 'Graphic'), (0.36675993, 'Object Detection')]
Semantic Filtering [(0.272265, 'Graphic'), (0.5223212, 'Object Detection')]
Kernel Approximation via Empirical Orthogonal Decomposition for Unsupervised Feature Learning [(0.11941552, 'Similarity'), (0.7467842, 'Points')]
High-Quality Depth From Uncalibrated Small Motion Clip [(0.05743986, 'Similarity'), (0.8481574, 'Graphic')]
Robust, Real-Time 3D Tracking of Multiple Objects With Similar Appearances [(0.27619702, 'Graphic'), (0.3820248, 'Object Detection')]
Constrained Deep Transfer Feature Learning and Its Applications [(0.14713673, 'Video'), (0.62203544, 'Dataset')]
DAG-Recurrent Neural Networks For Scene Labeling [(0.2256166, 'Dataset'), (0.44270888, 'Convolution')]
Recurrent Attention Models for Depth-Based Person Identification [(0.21955873, 'Dataset'), (0.28114754, 'Video')]
Camera Calibration From Dynamic Silhouettes Using Motion Barcodes [(0.07846316, 'Points'), (0.78127784, 'Graphic')]
Deep Metric Learning via Lifted Structured Feature Embedding [(0.12776266, 'Points'), (0.68448275, 'Dataset')]
DenseCap  Fully Convolutional Localization Networks for Dense Captioning [(0.33316827, 'Dataset'), (0.38198215, 'Object Detection')]
Action Recognition in Video Using Sparse Coding and Relative Features [(0.24271967, 'Dataset'), (0.44169497, 'Video')]
PatchBatch  A Batch Augmented Loss for Optical Flow [(0.19212905, 'Points'), (0.28842524, 'Convolution')]
Picking Deep Filter Responses for Fine-Grained Image Recognition [(0.3347507, 'Dataset'), (0.4475061, 'Object Detection')]
Noisy Label Recovery for Shadow Detection in Unfamiliar Domains [(0.20893213, 'Object Detection'), (0.48860288, 'Dataset')]
Reversible Recursive Instance-Level Object Segmentation [(0.29071203, 'Convolution'), (0.70898885, 'Object Detection')]
Pedestrian Detection Inspired by Appearance Constancy and Shape Symmetry [(0.3061963, 'Object Detection'), (0.46780252, 'Similarity')]
Deep Gaussian Conditional Random Field Network  A Model-Based Deep Network for Discriminative Denois [(0.36827424, 'Convolution'), (0.5134009, 'Points')]
Latent Factor Guided Convolutional Neural Networks for Age-Invariant Face Recognition [(0.27701938, 'Video'), (0.3432689, 'Dataset')]
Deep Decision Network for Multi-Class Image Classification [(0.28966418, 'Convolution'), (0.42481858, 'Dataset')]
Object Skeleton Extraction in Natural Images by Fusing Scale-Associated Deep Side Outputs [(0.30366987, 'Object Detection'), (0.47352037, 'Convolution')]
3D Semantic Parsing of Large-Scale Indoor Spaces [(0.3442649, 'Graphic'), (0.4711284, 'Object Detection')]
Combining Markov Random Fields and Convolutional Neural Networks for Image Synthesis [(0.24062352, 'Graphic'), (0.33360487, 'Dataset')]
Recurrent Convolutional Network for Video-Based Person Re-Identification [(0.2580881, 'Video'), (0.33948213, 'Convolution')]
A Multi-Level Contextual Model For Person Recognition in Photo Albums [(0.19474857, 'Object Detection'), (0.5462631, 'Dataset')]
Solving Temporal Puzzles [(0.29741138, 'Graphic'), (0.45003292, 'Points')]
Sparse to Dense 3D Reconstruction From Rolling Shutter Images [(0.049852125, 'Points'), (0.9152051, 'Graphic')]
Rotational Crossed-Slit Light Field [(0.03622572, 'Points'), (0.9364395, 'Graphic')]
Learning Aligned Cross-Modal Representations From Weakly Aligned Data [(0.15309316, 'Convolution'), (0.7877846, 'Dataset')]
Slicing Convolutional Neural Network for Crowd Video Understanding [(0.22845033, 'Dataset'), (0.23183806, 'Convolution')]
Large-Scale Semantic 3D Reconstruction  An Adaptive Multi-Resolution Model for Multi-Class Volumetri [(0.276502, 'Object Detection'), (0.46589145, 'Graphic')]
When Naive Bayes Nearest Neighbors Meet Convolutional Neural Networks [(0.32778487, 'Dataset'), (0.4216604, 'Points')]
DeepFool  A Simple and Accurate Method to Fool Deep Neural Networks [(0.2811386, 'Points'), (0.38087258, 'Dataset')]
Learning to Co-Generate Object Proposals With a Deep Structured Network [(0.26291838, 'Convolution'), (0.6164785, 'Object Detection')]
How Hard Can It Be  Estimating the Difficulty of Visual Search in an Image [(0.34787065, 'Object Detection'), (0.60388553, 'Dataset')]
Object-Proposal Evaluation Protocol is 'Gameable' [(0.33554897, 'Dataset'), (0.6358995, 'Object Detection')]
Variable Aperture Light Field Photography  Overcoming the Diffraction-Limited Spatio-Angular Resolut [(0.05726727, 'Convolution'), (0.86202735, 'Graphic')]
Weakly Supervised Deep Detection Networks [(0.27534345, 'Convolution'), (0.41681963, 'Object Detection')]
Canny Text Detector  Fast and Robust Scene Text Localization Algorithm [(0.14933647, 'Dataset'), (0.77848357, 'Object Detection')]
Random Features for Sparse Signal Classification [(0.08887265, 'Similarity'), (0.76532626, 'Points')]
Deep Sliding Shapes for Amodal 3D Object Detection in RGB-D Images [(0.23550263, 'Convolution'), (0.4714766, 'Object Detection')]
Fine-Grained Categorization and Dataset Bootstrapping Using Deep Metric Learning With Humans in the  [(0.07713675, 'Points'), (0.79885393, 'Dataset')]
You Lead, We Exceed  Labor-Free Video Concept Learning by Jointly Exploiting Web Videos and Images [(0.35978776, 'Video'), (0.57622325, 'Dataset')]
Efficient Deep Learning for Stereo Matching [(0.30782706, 'Graphic'), (0.40092868, 'Convolution')]
Visualizing and Understanding Deep Texture Representations [(0.2880483, 'Convolution'), (0.4272158, 'Dataset')]
Estimating Correspondences of Deformable Objects  In-The-Wild  [(0.18929158, 'Dataset'), (0.44400525, 'Graphic')]
Egocentric Future Localization [(0.20482226, 'Video'), (0.46691638, 'Graphic')]
Gaussian Conditional Random Field Network for Semantic Segmentation [(0.37601766, 'Convolution'), (0.39329138, 'Points')]
Fast ConvNets Using Group-Wise Brain Damage [(0.42741707, 'Convolution'), (0.5054647, 'Points')]
Deeply-Recursive Convolutional Network for Image Super-Resolution [(0.15275498, 'Points'), (0.6363504, 'Convolution')]
Unsupervised Cross-Dataset Transfer Learning for Person Re-Identification [(0.2250612, 'Points'), (0.59161174, 'Dataset')]
Simultaneous Estimation of Near IR BRDF and Fine-Scale Surface Geometry [(0.025416322, 'Points'), (0.9510221, 'Graphic')]
End-To-End People Detection in Crowded Scenes [(0.2417711, 'Convolution'), (0.42336336, 'Object Detection')]
NetVLAD  CNN Architecture for Weakly Supervised Place Recognition [(0.2510835, 'Convolution'), (0.5595206, 'Dataset')]
GIFT  A Real-Time and Scalable 3D Shape Search Engine [(0.24422337, 'Graphic'), (0.38380703, 'Points')]
TenSR  Multi-Dimensional Tensor Sparse Representation [(0.032640405, 'Dataset'), (0.9503614, 'Points')]
Amplitude Modulated Video Camera - Light Separation in Dynamic Scenes [(0.09991602, 'Video'), (0.84241647, 'Graphic')]
Semantic Instance Annotation of Street Scenes by 3D to 2D Label Transfer [(0.26924357, 'Dataset'), (0.3822266, 'Object Detection')]
You Only Look Once  Unified, Real-Time Object Detection [(0.2672029, 'Convolution'), (0.565287, 'Object Detection')]
Oracle Based Active Set Algorithm for Scalable Elastic Net Subspace Clustering [(0.07981022, 'Graphic'), (0.83053213, 'Points')]
Adaptive Decontamination of the Training Set  A Unified Formulation for Discriminative Visual Tracki [(0.24752879, 'Points'), (0.27426976, 'Similarity')]
Contour Detection in Unstructured 3D Point Clouds [(0.33918348, 'Graphic'), (0.4653212, 'Object Detection')]
PPP  Joint Pointwise and Pairwise Image Label Prediction [(0.22002408, 'Points'), (0.70549136, 'Dataset')]
Social LSTM  Human Trajectory Prediction in Crowded Spaces [(0.17408045, 'Dataset'), (0.39092523, 'Video')]
Facial Expression Intensity Estimation Using Ordinal Information [(0.38271242, 'Points'), (0.46776405, 'Video')]
Fast Temporal Activity Proposals for Efficient Detection of Human Actions in Untrimmed Videos [(0.28158507, 'Video'), (0.41123098, 'Object Detection')]
Backtracking ScSPM Image Classifier for Weakly Supervised Top-Down Saliency [(0.17331387, 'Dataset'), (0.6725852, 'Object Detection')]
Piecewise-Planar 3D Approximation From Wide-Baseline Stereo [(0.20618205, 'Object Detection'), (0.62520224, 'Graphic')]
Exemplar-Driven Top-Down Saliency Detection via Deep Association [(0.2902338, 'Object Detection'), (0.4251766, 'Dataset')]
Hierarchical Gaussian Descriptor for Person Re-Identification [(0.16923937, 'Points'), (0.4640934, 'Similarity')]
Image Style Transfer Using Convolutional Neural Networks [(0.25353497, 'Convolution'), (0.47555733, 'Dataset')]
Large-Pose Face Alignment via CNN-Based Dense 3D Model Fitting [(0.35626203, 'Video'), (0.43633482, 'Graphic')]
Shortlist Selection With Residual-Aware Distance Estimator for K-Nearest Neighbor Search [(0.07599367, 'Graphic'), (0.8490826, 'Points')]
Consensus of Non-Rigid Reconstructions [(0.44411922, 'Points'), (0.49304727, 'Graphic')]
Memory Efficient Max Flow for Multi-Label Submodular MRFs [(0.24953519, 'Object Detection'), (0.6576687, 'Points')]
Spatially Binned ROC  A Comprehensive Saliency Metric [(0.2567827, 'Dataset'), (0.45174146, 'Object Detection')]
A Nonlinear Regression Technique for Manifold Valued Data With Applications to Medical Image Analysi [(0.2782415, 'Graphic'), (0.65006346, 'Points')]
Gradual DropIn of Layers to Train Very Deep Neural Networks [(0.13619897, 'Points'), (0.730774, 'Convolution')]
Exploit Bounding Box Annotations for Multi-Label Object Recognition [(0.24490575, 'Object Detection'), (0.47335067, 'Dataset')]
Temporal Action Localization With Pyramid of Score Distribution Features [(0.24351558, 'Object Detection'), (0.4397037, 'Video')]
Learning Dense Correspondence via 3D-Guided Cycle Consistency [(0.24073426, 'Dataset'), (0.3650045, 'Graphic')]
Instance-Level Segmentation for Autonomous Driving With Deep Densely Connected MRFs [(0.098505296, 'Dataset'), (0.7076274, 'Object Detection')]
Mining Discriminative Triplets of Patches for Fine-Grained Classification [(0.32567984, 'Object Detection'), (0.4881397, 'Dataset')]
CNN-RNN  A Unified Framework for Multi-Label Image Classification [(0.2694393, 'Convolution'), (0.5266577, 'Dataset')]
Occlusion Boundary Detection via Deep Exploration of Context [(0.1287498, 'Convolution'), (0.54870003, 'Object Detection')]
Structured Feature Learning for Pose Estimation [(0.14437221, 'Similarity'), (0.4605221, 'Convolution')]
DeepHand  Robust Hand Pose Estimation by Completing a Matrix Imputed With Deep Features [(0.25679833, 'Convolution'), (0.36438268, 'Graphic')]
MDL-CW  A Multimodal Deep Learning Framework With Cross Weights [(0.16639137, 'Convolution'), (0.69366163, 'Dataset')]
Globally Optimal Manhattan Frame Estimation in Real-Time [(0.42062292, 'Points'), (0.525533, 'Graphic')]
Layered Scene Decomposition via the Occlusion-CRF [(0.31904915, 'Object Detection'), (0.5302763, 'Graphic')]
Object Detection From Video Tubelets With Convolutional Neural Networks [(0.15274858, 'Similarity'), (0.5500504, 'Object Detection')]
Self-Adaptive Matrix Completion for Heart Rate Estimation From Face Videos Under Realistic Condition [(0.26839375, 'Points'), (0.29955557, 'Video')]
They Are Not Equally Reliable  Semantic Event Search Using Differentiated Concept Classifiers [(0.23968431, 'Video'), (0.52656, 'Dataset')]
Beyond Local Search  Tracking Objects Everywhere With Instance-Specific Proposals [(0.19907607, 'Similarity'), (0.6115987, 'Object Detection')]
Rethinking the Inception Architecture for Computer Vision [(0.24387088, 'Points'), (0.46927524, 'Convolution')]
Sparse Coding for Classification via Discrimination Ensemble [(0.37096044, 'Dataset'), (0.6047971, 'Points')]
Jointly Modeling Embedding and Translation to Bridge Video and Language [(0.20751151, 'Video'), (0.5430261, 'Dataset')]
Patch-Based Convolutional Neural Network for Whole Slide Tissue Image Classification [(0.36782506, 'Dataset'), (0.5101235, 'Object Detection')]
Single Image Camera Calibration With Lenticular Arrays for Augmented Reality [(0.086386316, 'Object Detection'), (0.8811188, 'Graphic')]
Constrained Joint Cascade Regression Framework for Simultaneous Facial Action Unit Recognition and F [(0.20467861, 'Points'), (0.59972733, 'Video')]
A New Finsler Minimal Path Model With Curvature Penalization for Image Segmentation and Closed Conto [(0.18197158, 'Points'), (0.6040338, 'Graphic')]
Discriminative Multi-Modal Feature Fusion for RGBD Indoor Scene Recognition [(0.17883238, 'Convolution'), (0.49898994, 'Dataset')]
Active Image Segmentation Propagation [(0.24278803, 'Dataset'), (0.73074263, 'Object Detection')]
Automatic Image Cropping   A Computational Complexity Study [(0.27231666, 'Points'), (0.3569862, 'Object Detection')]
End-To-End Saliency Mapping via Probability Distribution Prediction [(0.2766202, 'Dataset'), (0.442453, 'Convolution')]
Improving the Robustness of Deep Neural Networks via Stability Training [(0.25926235, 'Similarity'), (0.4268982, 'Dataset')]
Seeing Behind the Camera  Identifying the Authorship of a Photograph [(0.07340383, 'Object Detection'), (0.82389575, 'Dataset')]
Multi-Cue Zero-Shot Learning With Strong Supervision [(0.021216018, 'Points'), (0.9451729, 'Dataset')]
Image Question Answering Using Convolutional Neural Network With Dynamic Parameter Prediction [(0.3354039, 'Convolution'), (0.46675485, 'Dataset')]
Hedgehog Shape Priors for Multi-Object Segmentation [(0.39047045, 'Object Detection'), (0.4907144, 'Graphic')]
Learning Action Maps of Large Environments via First-Person Vision [(0.23385757, 'Video'), (0.29160857, 'Graphic')]
WELDON  Weakly Supervised Learning of Deep Convolutional Neural Networks [(0.30900848, 'Convolution'), (0.423136, 'Dataset')]
Sparse Coding for Third-Order Super-Symmetric Tensor Descriptors With Application to Texture Recogni [(0.104755305, 'Similarity'), (0.685802, 'Points')]
Deep Reflectance Maps [(0.1581268, 'Convolution'), (0.7021748, 'Graphic')]
Learning Weight Uncertainty With Stochastic Gradient MCMC for Shape Classification [(0.22523578, 'Graphic'), (0.32449096, 'Convolution')]
Region Ranking SVM for Image Classification [(0.20992513, 'Object Detection'), (0.45976198, 'Dataset')]
Online Reconstruction of Indoor Scenes From RGB-D Streams [(0.1019845, 'Points'), (0.7302066, 'Graphic')]
Longitudinal Face Modeling via Temporal Deep Restricted Boltzmann Machines [(0.18155369, 'Dataset'), (0.5403405, 'Video')]
Learning Activity Progression in LSTMs for Activity Detection and Early Detection [(0.29500854, 'Dataset'), (0.44483137, 'Video')]
Sparseness Meets Deepness  3D Human Pose Estimation From Monocular Video [(0.23982346, 'Video'), (0.41023934, 'Graphic')]
DeepCut  Joint Subset Partition and Labeling for Multi Person Pose Estimation [(0.14999737, 'Video'), (0.32732466, 'Object Detection')]
MSR-VTT  A Large Video Description Dataset for Bridging Video and Language [(0.34865862, 'Video'), (0.5361476, 'Dataset')]
A Benchmark Dataset and Evaluation Methodology for Video Object Segmentation [(0.20175304, 'Video'), (0.51489806, 'Object Detection')]
Analyzing Classifiers  Fisher Vectors and Deep Neural Networks [(0.17965528, 'Object Detection'), (0.5771303, 'Dataset')]
Video2GIF  Automatic Generation of Animated GIFs From Video [(0.21715009, 'Video'), (0.5474269, 'Dataset')]
Unsupervised Learning of Edges [(0.15572527, 'Convolution'), (0.58683515, 'Object Detection')]
Kinematic Structure Correspondences via Hypergraph Matching [(0.19571725, 'Similarity'), (0.5181103, 'Graphic')]
Robust Light Field Depth Estimation for Noisy Scene With Occlusion [(0.15094526, 'Object Detection'), (0.7358179, 'Graphic')]
Linear Shape Deformation Models With Local Support Using Graph-Based Structured Matrix Factorisation [(0.36512968, 'Graphic'), (0.5907891, 'Points')]
Summary Transfer  Exemplar-Based Subset Selection for Video Summarization [(0.35723722, 'Video'), (0.3723416, 'Dataset')]
End-To-End Learning of Deformable Mixture of Parts and Deep Convolutional Neural Networks for Human  [(0.21339479, 'Object Detection'), (0.41384977, 'Convolution')]
A Task-Oriented Approach for Cost-Sensitive Recognition [(0.109006986, 'Object Detection'), (0.6412288, 'Dataset')]
Beyond F-Formations  Determining Social Involvement in Free Standing Conversing Groups From Static I [(0.24358661, 'Dataset'), (0.26351786, 'Object Detection')]
Efficient Globally Optimal 2D-To-3D Deformable Shape Matching [(0.25339633, 'Points'), (0.49467316, 'Graphic')]
Optical Flow With Semantic Segmentation and Localized Layers [(0.20619246, 'Graphic'), (0.6790935, 'Object Detection')]
An Egocentric Look at Video Photographer Identity [(0.3519486, 'Video'), (0.3786347, 'Dataset')]
Learning a Discriminative Null Space for Person Re-Identification [(0.36136112, 'Points'), (0.37042415, 'Dataset')]
A Deeper Look at Saliency  Feature Contrast, Semantics, and Beyond [(0.25084126, 'Object Detection'), (0.39249045, 'Dataset')]
SketchNet  Sketch Classification With Web Images [(0.13524505, 'Convolution'), (0.7858061, 'Dataset')]
Recognizing Emotions From Abstract Paintings Using Non-Linear Matrix Completion [(0.22179382, 'Points'), (0.54398185, 'Dataset')]
Composition-Preserving Deep Photo Aesthetics Assessment [(0.2018255, 'Dataset'), (0.5878918, 'Convolution')]
Online Learning With Bayesian Classification Trees [(0.21091607, 'Dataset'), (0.6403304, 'Points')]
Automatic Fence Segmentation in Videos of Dynamic Scenes [(0.23894574, 'Graphic'), (0.5856648, 'Object Detection')]
3D Shape Attributes [(0.25055066, 'Graphic'), (0.669608, 'Dataset')]
In Defense of Sparse Tracking  Circulant Sparse Tracker [(0.31946164, 'Points'), (0.4851495, 'Similarity')]
Single Image Object Modeling Based on BRDF and R-Surfaces Learning [(0.1377173, 'Object Detection'), (0.7007119, 'Graphic')]
Actor-Action Semantic Segmentation With Grouping Process Models [(0.3057546, 'Video'), (0.47879565, 'Object Detection')]
Relaxation-Based Preprocessing Techniques for Markov Random Field Inference [(0.11757082, 'Object Detection'), (0.85230285, 'Points')]
Inside-Outside Net  Detecting Objects in Context With Skip Pooling and Recurrent Neural Networks [(0.29814526, 'Object Detection'), (0.52016014, 'Convolution')]
Semi-Supervised Vocabulary-Informed Learning [(0.1261596, 'Points'), (0.8687788, 'Dataset')]
Rain Streak Removal Using Layer Priors [(0.25297394, 'Points'), (0.43386993, 'Graphic')]
Motion From Structure (MfS)  Searching for 3D Objects in Cluttered Point Trajectories [(0.19703215, 'Object Detection'), (0.32805613, 'Graphic')]
Studying Very Low Resolution Recognition Using Deep Networks [(0.29299986, 'Convolution'), (0.37908655, 'Dataset')]
Coordinating Multiple Disparity Proposals for Stereo Computation [(0.42413038, 'Object Detection'), (0.5052658, 'Graphic')]
Multi-Oriented Text Detection With Fully Convolutional Networks [(0.1458184, 'Dataset'), (0.59892213, 'Object Detection')]
DeLay  Robust Spatial Layout Estimation for Cluttered Indoor Scenes [(0.31324622, 'Object Detection'), (0.37548104, 'Graphic')]
Learning Deep Representations of Fine-Grained Visual Descriptions [(0.1538918, 'Convolution'), (0.792994, 'Dataset')]
Real-Time Single Image and Video Super-Resolution Using an Efficient Sub-Pixel Convolutional Neural  [(0.24241969, 'Points'), (0.50393677, 'Convolution')]
Improving Person Re-Identification via Pose-Aware Multi-Shot Matching [(0.28912535, 'Graphic'), (0.48922122, 'Similarity')]
Learning Deep Feature Representations With Domain Guided Dropout for Person Re-Identification [(0.1985289, 'Convolution'), (0.5860739, 'Dataset')]
Efficiently Creating 3D Training Data for Fine Hand Pose Estimation [(0.32131836, 'Video'), (0.45280167, 'Graphic')]
Regularity-Driven Facade Matching Between Aerial and Street Views [(0.30646762, 'Object Detection'), (0.43966237, 'Graphic')]
Learning Attributes Equals Multi-Source Domain Generalization [(0.098998964, 'Object Detection'), (0.7607753, 'Dataset')]
Using Self-Contradiction to Learn Confidence Measures in Stereo Vision [(0.34694475, 'Dataset'), (0.51304054, 'Graphic')]
Rolling Shutter Absolute Pose Problem With Known Vertical Direction [(0.03937532, 'Points'), (0.95565933, 'Graphic')]
Proximal Riemannian Pursuit for Large-Scale Trace-Norm Minimization [(0.08766099, 'Graphic'), (0.89459926, 'Points')]
Instance-Level Video Segmentation From Object Tracks [(0.19207938, 'Points'), (0.52173245, 'Object Detection')]
How Far Are We From Solving Pedestrian Detection  [(0.3009005, 'Dataset'), (0.49712968, 'Object Detection')]
Progressively Parsing Interactional Objects for Fine Grained Action Detection [(0.26118, 'Video'), (0.5109059, 'Object Detection')]
Patches, Planes and Probabilities  A Non-Local Prior for Volumetric 3D Reconstruction [(0.20196962, 'Object Detection'), (0.63583463, 'Graphic')]
CNN-N-Gram for Handwriting Word Recognition [(0.24342942, 'Convolution'), (0.64355695, 'Dataset')]
Detecting Migrating Birds at Night [(0.34719545, 'Object Detection'), (0.49851793, 'Graphic')]
Video Paragraph Captioning Using Hierarchical Recurrent Neural Networks [(0.32100558, 'Dataset'), (0.3492699, 'Convolution')]
HyperDepth  Learning Depth From Structured Light Without Matching [(0.12056072, 'Object Detection'), (0.61443216, 'Graphic')]
Simultaneous Optical Flow and Intensity Estimation From an Event Camera [(0.2701647, 'Video'), (0.56573504, 'Graphic')]
A 3D Morphable Model Learnt From 10,000 Faces [(0.31140858, 'Graphic'), (0.3429103, 'Video')]
Part-Stacked CNN for Fine-Grained Visual Categorization [(0.28777468, 'Object Detection'), (0.42000502, 'Convolution')]
Semantic Image Segmentation With Task-Specific Edge Detection Using CNNs and a Discriminatively Trai [(0.4154876, 'Convolution'), (0.4525859, 'Object Detection')]
Multiview Image Completion With Space Structure Propagation [(0.25615463, 'Object Detection'), (0.72365487, 'Graphic')]
Seeing Through the Human Reporting Bias  Visual Classifiers From Noisy Human-Centric Labels [(0.07279533, 'Points'), (0.82198304, 'Dataset')]
Sparse Coding and Dictionary Learning With Linear Dynamical Systems [(0.13901043, 'Video'), (0.76078516, 'Points')]
Recombinator Networks  Learning Coarse-To-Fine Feature Aggregation [(0.19423358, 'Object Detection'), (0.5876493, 'Convolution')]
A Field Model for Repairing 3D Shapes [(0.1628966, 'Object Detection'), (0.5893269, 'Graphic')]
Multiple Model Fitting as a Set Coverage Problem [(0.40152115, 'Graphic'), (0.4289657, 'Points')]
FANNG  Fast Approximate Nearest Neighbour Graphs [(0.1638988, 'Graphic'), (0.7095592, 'Points')]
The SYNTHIA Dataset  A Large Collection of Synthetic Images for Semantic Segmentation of Urban Scene [(0.24068709, 'Object Detection'), (0.46436265, 'Dataset')]
Tensor Power Iteration for Multi-Graph Matching [(0.21683884, 'Similarity'), (0.59436464, 'Points')]
Learning With Side Information Through Modality Hallucination [(0.2852654, 'Dataset'), (0.566387, 'Convolution')]
Actionness Estimation Using Hybrid Fully Convolutional Networks [(0.31912494, 'Video'), (0.3302791, 'Convolution')]
Instance-Aware Semantic Segmentation via Multi-Task Network Cascades [(0.45490307, 'Object Detection'), (0.46858355, 'Convolution')]
Geometry-Informed Material Recognition [(0.3484081, 'Dataset'), (0.46805748, 'Graphic')]
Robust Tensor Factorization With Unknown Noise [(0.21425599, 'Graphic'), (0.74691564, 'Points')]
3D Action Recognition From Novel Viewpoints [(0.33101776, 'Graphic'), (0.33734983, 'Video')]
Adaptive 3D Face Reconstruction From Unconstrained Photo Collections [(0.15912573, 'Video'), (0.7432896, 'Graphic')]
